Film	director	screenwriter	actor
猎杀星期一	托米·维尔科拉	麦克斯·博特金 / 凯丽·威廉逊	劳米·拉佩斯 / 格伦·克洛斯 / 威廉·达福 / 马尔万·肯扎里 / 克里斯蒂安·鲁贝克 / 帕尔·斯维尔·哈根 / 托米瓦·埃敦 / 凯西·克莱尔 / 卡梅伦·杰克 / 柯尔斯蒂·阿弗顿 / 维加·霍尔 / 马达林·德拉甘 / 斯蒂格·弗洛德·亨里克森 / 亚历山大·阮 / 拉腊·德坎罗 / 玛丽·埃弗雷特 / 桑地亚哥·卡布瑞拉
新木乃伊	艾里克斯·库兹曼	乔·斯派茨 / 克里斯托弗·麦奎里	汤姆·克鲁斯 / 罗素·克劳 / 安娜贝拉·沃丽丝 / 索菲亚·波多拉 / 杰克·约翰逊 / 考特尼·万斯 / 马尔万·肯扎里 / 斯蒂芬·汤普森 / 詹姆斯·阿拉马 / 马修·威尔卡斯 / 索姆·卡皮拉 / 肖恩·卡梅伦·迈克尔 / 雷兹·肯普顿 / 尼尔·马斯克尔 / 哈维尔·博泰特 / 帕克·索耶
银河护卫队2	詹姆斯·古恩	詹姆斯·古恩 / 丹·阿布内特 / 安迪·兰宁	克里斯·普拉特 / 佐伊·索尔达娜 / 戴夫·巴蒂斯塔 / 范·迪塞尔 / 布莱德利·库珀 / 凯伦·吉兰 / 迈克尔·鲁克 / 庞·克莱门捷夫 / 伊丽莎白·德比茨基 / 肖恩·古恩 / 库尔特·拉塞尔 / 克里斯·沙利文 / 大卫·哈塞尔霍夫 / 西尔维斯特·史泰龙 / 杨紫琼
他们先杀了我父亲：一个柬埔寨女儿的回忆录	安吉丽娜·朱莉	安吉丽娜·朱莉 / 翁琅	Sareum Srey Moch / Phoeung Kompheak / Sveng Socheata / Mun Kimhak / Heng Dara / Khoun Sothea / Sarun Nika / Run Malyna / Oun Srey Neang / Horm Chhora / Mony Ros / Tharoth Sam / Nout Sophal
驴得水	周申 / 刘露	周申 / 刘露	任素汐 / 大力 / 刘帅良 / 裴魁山 / 阿如那 / 韩彦博 / 卜冠今 / 王堃 / 高阳 / 苏千越 / 查尔斯·亚瑟 / 王峰
蚯蚓	尹学烈	金严昊 / 尹学律	金正均 / 吴艺雪
三个老枪手	扎克·布拉夫	西奥多·梅尔菲 / 爱德华·坎农	迈克尔·凯恩 / 摩根·弗里曼 / 艾伦·阿金 / 乔伊·金 / 安-玛格丽特 / 克里斯托弗·洛伊德 / 彼得·塞拉菲诺威茨 / 马特·狄龙 / 玛丽亚·迪齐亚 / 希博汗·法隆 / 约翰·奥提兹 / 基南·汤普森 / 凯特琳·卡尔森 / 乔什·帕斯 / 南希·卡斯特罗
天才少女	马克·韦布	汤姆·弗林	克里斯·埃文斯 / 麦肯娜·格瑞丝 / 琳赛·邓肯 / 珍妮·斯蕾特 / 奥克塔维亚·斯宾瑟 / 迈克尔·肯德尔·卡普兰 / 约翰·M·杰克逊 / 格伦·普拉默 / 约翰·芬 / 伊丽莎白·玛维尔 / 坎迪斯·B·哈里斯 / 乔恩·斯克拉夫 / 乔娜·肖 / 朱莉·安·埃默里 / 吉尔·奥唐奈
真实	李沙朗	李正燮	金秀贤 / 成东日 / 韩智恩 / 李圣旻 / 崔雪莉 / 赵宇镇 / 崔权 / 郑仁谦 / 金弘波 / 李璟荣 / 丁瑞奇
速度与激情8	F·加里·格雷	克里斯·摩根 / 盖瑞·斯科特·汤普森	范·迪塞尔 / 道恩·强森 / 查理兹·塞隆 / 杰森·斯坦森 / 米歇尔·罗德里格兹 / 泰瑞斯·吉布森 / 卢达克里斯 / 库尔特·拉塞尔 / 娜塔莉·伊曼纽尔 / 卢克·伊万斯 / 埃尔莎·帕塔奇 / 克里斯托弗·海维尤 / 斯科特·伊斯特伍德 / 帕特里克·圣埃斯普利特
秘果	连奕琦	饶雪漫	陈飞宇 / 欧阳娜娜 / 邹元清 / 张诚航 / 欧豪 / 米咪 / 咏梅 / 曹卫宇 / 张瑶
青年警察	金周焕	金周焕	朴叙俊 / 姜河那 / 朴河宣 / 成东日 / 裴侑蓝 / 高俊
